strategy,bins_1,bins_2,dataset,classifier,accuracy_score,f1_score,precision_score,recall_score
uniform,5,8,radial,RBF SVM,0.725,0.744186046511628,0.8421052631578947,0.6666666666666666
uniform,5,8,radial,Gaussian Process,0.8,0.8095238095238096,0.9444444444444444,0.7083333333333334
uniform,5,8,radial,Decision Tree,0.85,0.8636363636363635,0.95,0.7916666666666666
uniform,5,8,radial,Random Forest,0.725,0.7755102040816326,0.76,0.7916666666666666
uniform,5,8,radial,Neural Net,0.8,0.8095238095238096,0.9444444444444444,0.7083333333333334
uniform,5,8,radial,AdaBoost,0.85,0.8636363636363635,0.95,0.7916666666666666
uniform,5,8,radial,Naive Bayes,0.7,0.6666666666666666,1.0,0.5
uniform,5,8,radial,QDA,0.7,0.6666666666666666,1.0,0.5
uniform,5,8,linear,Nearest Neighbors,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,5,8,linear,Linear SVM,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,8,linear,RBF SVM,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,8,linear,Gaussian Process,0.9,0.9090909090909091,0.9090909090909091,0.9090909090909091
uniform,5,8,linear,Decision Tree,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,8,linear,Random Forest,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,8,linear,Neural Net,0.85,0.8571428571428572,0.9,0.8181818181818182
uniform,5,8,linear,AdaBoost,0.875,0.8837209302325582,0.9047619047619048,0.8636363636363636
uniform,5,8,linear,Naive Bayes,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,8,linear,QDA,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,5,9,moon,Nearest Neighbors,0.925,0.9302325581395349,0.9090909090909091,0.9523809523809523
uniform,5,9,moon,Linear SVM,0.875,0.8780487804878048,0.9,0.8571428571428571
uniform,5,9,moon,RBF SVM,0.925,0.9302325581395349,0.9090909090909091,0.9523809523809523
uniform,5,9,moon,Gaussian Process,0.9,0.9047619047619048,0.9047619047619048,0.9047619047619048
uniform,5,9,moon,Decision Tree,0.825,0.8510638297872339,0.7692307692307693,0.9523809523809523
uniform,5,9,moon,Random Forest,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,5,9,moon,Neural Net,0.875,0.8780487804878048,0.9,0.8571428571428571
uniform,5,9,moon,AdaBoost,0.925,0.9302325581395349,0.9090909090909091,0.9523809523809523
uniform,5,9,moon,Naive Bayes,0.875,0.8780487804878048,0.9,0.8571428571428571
uniform,5,9,moon,QDA,0.875,0.8837209302325582,0.8636363636363636,0.9047619047619048
uniform,5,9,radial,Nearest Neighbors,0.775,0.7804878048780487,0.9411764705882353,0.6666666666666666
uniform,5,9,radial,Linear SVM,0.4,0.0,0.0,0.0
uniform,5,9,radial,RBF SVM,0.725,0.7179487179487181,0.9333333333333333,0.5833333333333334
uniform,5,9,radial,Gaussian Process,0.775,0.7692307692307693,1.0,0.625
uniform,5,9,radial,Decision Tree,0.825,0.8292682926829268,1.0,0.7083333333333334
