strategy,bins_1,bins_2,dataset,classifier,accuracy_score,f1_score,precision_score,recall_score
uniform,9,6,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,9,6,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,9,6,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,9,6,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,9,6,moon,Neural Net,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,9,6,moon,AdaBoost,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,9,6,moon,Naive Bayes,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,9,6,linear,Nearest Neighbors,0.95,0.9523809524,1,0.9090909091
uniform,9,6,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,9,6,linear,Decision Tree,0.95,0.9523809524,1,0.9090909091
uniform,9,6,linear,AdaBoost,0.95,0.9523809524,1,0.9090909091
uniform,9,6,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,9,7,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,9,7,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,9,7,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,9,8,moon,Nearest Neighbors,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,9,8,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,9,8,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,9,8,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,9,8,linear,Nearest Neighbors,0.95,0.9523809524,1,0.9090909091
uniform,9,8,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,9,8,linear,Random Forest,0.95,0.9523809524,1,0.9090909091
uniform,9,8,linear,AdaBoost,0.95,0.9523809524,1,0.9090909091
uniform,9,8,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,9,9,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,9,9,moon,Gaussian Process,0.95,0.9545454545,0.9130434783,1
uniform,9,9,moon,AdaBoost,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,9,9,linear,Nearest Neighbors,0.95,0.9523809524,1,0.9090909091
uniform,9,9,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,9,10,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,9,10,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,10,5,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,10,5,linear,Nearest Neighbors,0.95,0.9523809524,1,0.9090909091
uniform,10,5,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,10,5,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
uniform,10,5,linear,Neural Net,0.95,0.9523809524,1,0.9090909091
uniform,10,5,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,10,5,linear,QDA,0.95,0.9523809524,1,0.9090909091
uniform,10,6,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,10,6,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,10,6,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,10,6,linear,RBF SVM,0.95,0.9523809524,1,0.9090909091
uniform,10,6,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
uniform,10,6,linear,Decision Tree,0.95,0.9523809524,1,0.9090909091
uniform,10,6,linear,Random Forest,0.95,0.9523809524,1,0.9090909091
uniform,10,6,linear,Neural Net,0.95,0.9523809524,1,0.9090909091
